x,y,vx,vy,Paddle.y
773,223,-2,-2,171.0
771,221,-2,-2,171
769,219,-2,-2,171
767,217,-2,-2,171
765,215,-2,-2,171
763,213,-2,-2,171
761,211,-2,-2,171
759,209,-2,-2,171
757,207,-2,-2,171
755,205,-2,-2,171
753,203,-2,-2,171
751,201,-2,-2,171
749,199,-2,-2,171
747,197,-2,-2,171
745,195,-2,-2,171
743,193,-2,-2,171
741,191,-2,-2,171
739,189,-2,-2,171
737,187,-2,-2,171
735,185,-2,-2,171
733,183,-2,-2,171
731,181,-2,-2,171
729,179,-2,-2,171
727,177,-2,-2,171
725,175,-2,-2,171
723,173,-2,-2,171
721,171,-2,-2,171
719,169,-2,-2,171
717,167,-2,-2,171
715,165,-2,-2,171
713,163,-2,-2,171
711,161,-2,-2,171
709,159,-2,-2,171
707,157,-2,-2,171
705,155,-2,-2,171
703,153,-2,-2,171
701,151,-2,-2,171
699,149,-2,-2,171
697,147,-2,-2,171
695,145,-2,-2,171
693,143,-2,-2,171
691,141,-2,-2,171
689,139,-2,-2,171
687,137,-2,-2,171
685,135,-2,-2,171
683,133,-2,-2,171
681,131,-2,-2,171
679,129,-2,-2,171
677,127,-2,-2,171
675,125,-2,-2,171
673,123,-2,-2,171
671,121,-2,-2,171
669,119,-2,-2,171
667,117,-2,-2,171
665,115,-2,-2,171
663,113,-2,-2,170
661,111,-2,-2,170
659,109,-2,-2,168
657,107,-2,-2,166
655,105,-2,-2,166
653,103,-2,-2,166
651,101,-2,-2,166
649,99,-2,-2,166
647,97,-2,-2,166
645,95,-2,-2,166
643,93,-2,-2,166
641,91,-2,-2,166
639,89,-2,-2,166
637,87,-2,-2,166
635,85,-2,-2,166
633,83,-2,-2,166
631,81,-2,-2,166
629,79,-2,-2,166
627,77,-2,-2,166
625,75,-2,-2,166
623,73,-2,-2,166
621,71,-2,-2,166
619,69,-2,-2,166
617,67,-2,-2,166
615,65,-2,-2,166
613,63,-2,-2,166
611,61,-2,-2,166
609,59,-2,-2,166
607,57,-2,-2,166
605,55,-2,-2,166
603,53,-2,-2,166
601,51,-2,-2,166
599,49,-2,-2,166
597,47,-2,-2,166
595,45,-2,-2,166
593,43,-2,-2,165
591,41,-2,-2,165
589,39,-2,-2,163
587,37,-2,-2,162
585,35,-2,-2,162
583,33,-2,-2,161
581,31,-2,-2,161
579,29,-2,-2,160
577,27,-2,-2,159
575,25,-2,2,159
573,27,-2,2,159
571,29,-2,2,159
569,31,-2,2,159
567,33,-2,2,159
565,35,-2,2,159
563,37,-2,2,159
561,39,-2,2,159
559,41,-2,2,159
557,43,-2,2,159
555,45,-2,2,159
553,47,-2,2,159
551,49,-2,2,159
549,51,-2,2,159
547,53,-2,2,159
545,55,-2,2,161
543,57,-2,2,161
541,59,-2,2,161
539,61,-2,2,163
537,63,-2,2,164
535,65,-2,2,165
533,67,-2,2,166
531,69,-2,2,168
529,71,-2,2,169
527,73,-2,2,170
525,75,-2,2,170
523,77,-2,2,172
521,79,-2,2,174
519,81,-2,2,177
517,83,-2,2,178
515,85,-2,2,178
513,87,-2,2,178
511,89,-2,2,178
509,91,-2,2,178
507,93,-2,2,178
505,95,-2,2,178
503,97,-2,2,178
501,99,-2,2,178
499,101,-2,2,178
497,103,-2,2,178
495,105,-2,2,178
493,107,-2,2,175
491,109,-2,2,175
489,111,-2,2,165
487,113,-2,2,152
485,115,-2,2,143
483,117,-2,2,141
481,119,-2,2,140
479,121,-2,2,140
477,123,-2,2,140
475,125,-2,2,140
473,127,-2,2,140
471,129,-2,2,140
469,131,-2,2,140
467,133,-2,2,140
465,135,-2,2,140
463,137,-2,2,140
461,139,-2,2,140
459,141,-2,2,140
457,143,-2,2,140
455,145,-2,2,140
453,147,-2,2,140
451,149,-2,2,140
449,151,-2,2,140
447,153,-2,2,140
445,155,-2,2,140
443,157,-2,2,140
441,159,-2,2,140
439,161,-2,2,140
437,163,-2,2,140
435,165,-2,2,140
433,167,-2,2,140
431,169,-2,2,140
429,171,-2,2,140
427,173,-2,2,140
425,175,-2,2,140
423,177,-2,2,140
421,179,-2,2,140
419,181,-2,2,140
417,183,-2,2,140
415,185,-2,2,140
413,187,-2,2,140
411,189,-2,2,140
409,191,-2,2,140
407,193,-2,2,140
405,195,-2,2,140
403,197,-2,2,140
401,199,-2,2,140
399,201,-2,2,140
397,203,-2,2,140
395,205,-2,2,140
393,207,-2,2,140
391,209,-2,2,140
389,211,-2,2,140
387,213,-2,2,140
385,215,-2,2,140
383,217,-2,2,140
381,219,-2,2,140
379,221,-2,2,140
377,223,-2,2,140
375,225,-2,2,140
373,227,-2,2,140
371,229,-2,2,140
369,231,-2,2,140
367,233,-2,2,140
365,235,-2,2,140
363,237,-2,2,140
361,239,-2,2,140
359,241,-2,2,140
357,243,-2,2,140
355,245,-2,2,140
353,247,-2,2,140
351,249,-2,2,140
349,251,-2,2,140
347,253,-2,2,140
345,255,-2,2,140
343,257,-2,2,140
341,259,-2,2,140
339,261,-2,2,140
337,263,-2,2,140
335,265,-2,2,140
333,267,-2,2,140
331,269,-2,2,140
329,271,-2,2,140
327,273,-2,2,140
325,275,-2,2,140
323,277,-2,2,140
321,279,-2,2,140
319,281,-2,2,140
317,283,-2,2,140
315,285,-2,2,140
313,287,-2,2,140
311,289,-2,2,140
309,291,-2,2,140
307,293,-2,2,140
305,295,-2,2,140
303,297,-2,2,140
301,299,-2,2,140
299,301,-2,2,140
297,303,-2,2,140
295,305,-2,2,140
293,307,-2,2,140
291,309,-2,2,140
289,311,-2,2,142
287,313,-2,2,142
285,315,-2,2,143
283,317,-2,2,143
281,319,-2,2,143
279,321,-2,2,143
277,323,-2,2,143
275,325,-2,2,143
273,327,-2,2,143
271,329,-2,2,143
269,331,-2,2,143
267,333,-2,2,143
265,335,-2,2,143
263,337,-2,2,143
261,339,-2,2,143
259,341,-2,2,143
257,343,-2,2,143
255,345,-2,2,143
253,347,-2,2,144
251,349,-2,2,144
249,351,-2,2,144
247,353,-2,2,145
245,355,-2,2,146
243,357,-2,2,148
241,359,-2,2,151
239,361,-2,2,153
237,363,-2,2,154
235,365,-2,2,156
233,367,-2,2,157
231,369,-2,2,157
229,371,-2,2,159
227,373,-2,2,160
225,375,-2,2,161
223,377,-2,2,161
221,379,-2,2,161
219,381,-2,2,161
217,383,-2,2,161
215,385,-2,2,161
213,387,-2,2,161
211,389,-2,2,161
209,391,-2,2,161
207,393,-2,2,161
205,395,-2,2,161
203,397,-2,2,161
201,399,-2,2,162
199,401,-2,2,162
197,403,-2,2,162
195,405,-2,2,162
193,407,-2,2,162
191,409,-2,2,163
189,411,-2,2,165
187,413,-2,2,167
185,415,-2,2,169
183,417,-2,2,170
181,419,-2,2,170
179,421,-2,2,171
177,423,-2,2,173
175,425,-2,-2,173
173,423,-2,-2,173
171,421,-2,-2,173
169,419,-2,-2,173
167,417,-2,-2,173
165,415,-2,-2,173
163,413,-2,-2,173
161,411,-2,-2,173
159,409,-2,-2,173
157,407,-2,-2,173
155,405,-2,-2,173
153,403,-2,-2,173
151,401,-2,-2,173
149,399,-2,-2,173
147,397,-2,-2,173
145,395,-2,-2,173
143,393,-2,-2,173
141,391,-2,-2,173
139,389,-2,-2,174
137,387,-2,-2,176
135,385,-2,-2,176
133,383,-2,-2,177
131,381,-2,-2,177
129,379,-2,-2,178
127,377,-2,-2,180
125,375,-2,-2,182
123,373,-2,-2,183
121,371,-2,-2,185
119,369,-2,-2,186
117,367,-2,-2,188
115,365,-2,-2,188
113,363,-2,-2,190
111,361,-2,-2,191
109,359,-2,-2,193
107,357,-2,-2,195
105,355,-2,-2,197
103,353,-2,-2,199
101,351,-2,-2,200
99,349,-2,-2,200
97,347,-2,-2,201
95,345,-2,-2,202
93,343,-2,-2,202
91,341,-2,-2,203
89,339,-2,-2,204
87,337,-2,-2,204
85,335,-2,-2,205
83,333,-2,-2,205
81,331,-2,-2,205
79,329,-2,-2,206
77,327,-2,-2,207
75,325,-2,-2,208
73,323,-2,-2,209
71,321,-2,-2,210
69,319,-2,-2,210
67,317,-2,-2,212
65,315,-2,-2,212
63,313,-2,-2,212
61,311,-2,-2,213
59,309,-2,-2,214
57,307,-2,-2,214
55,305,-2,-2,215
53,303,-2,-2,216
51,301,-2,-2,216
49,299,-2,-2,216
47,297,-2,-2,216
45,295,-2,-2,216
43,293,-2,-2,216
41,291,-2,-2,216
39,289,-2,-2,216
37,287,-2,-2,217
35,285,-2,-2,217
33,283,-2,-2,219
31,281,-2,-2,221
29,279,-2,-2,221
27,277,-2,-2,221
25,275,2,-2,222
27,273,2,-2,223
29,271,2,-2,223
31,269,2,-2,223
33,267,2,-2,223
35,265,2,-2,224
37,263,2,-2,224
39,261,2,-2,224
41,259,2,-2,224
43,257,2,-2,224
